date,open,high,low,close,volume
3/13/86,0.0543,0.0623,0.0543,0.0596,2196738
3/14/86,0.0596,0.0627,0.0596,0.0617,655601
3/17/86,0.0618,0.0634,0.0618,0.0628,283581
3/18/86,0.0628,0.0633,0.0607,0.0612,144292
3/19/86,0.0611,0.0617,0.0595,0.0601,101882
3/20/86,0.0602,0.0602,0.058,0.0586,124502
3/21/86,0.0586,0.0596,0.0559,0.057,127805
3/24/86,0.057,0.057,0.0548,0.0554,139083
3/25/86,0.0554,0.0564,0.0548,0.0564,68293
3/26/86,0.0564,0.0586,0.0559,0.058,48436
3/27/86,0.058,0.0591,0.058,0.0591,35865
3/31/86,0.0592,0.0592,0.0576,0.0586,27428
4/1/86,0.0586,0.0586,0.058,0.058,23605
4/2/86,0.058,0.0596,0.058,0.0586,57557
4/3/86,0.0591,0.0607,0.0591,0.0591,49046
4/4/86,0.0591,0.0596,0.0591,0.0591,56586
4/7/86,0.0591,0.0596,0.057,0.058,35254
4/8/86,0.058,0.0596,0.058,0.0586,21845
4/9/86,0.0586,0.0602,0.0586,0.0596,25876
4/10/86,0.0595,0.0607,0.0585,0.0601,29529
4/11/86,0.0607,0.0623,0.0607,0.0612,36671
4/14/86,0.0611,0.0623,0.0611,0.0617,25856
4/15/86,0.0617,0.0617,0.0596,0.0617,19791
4/16/86,0.0618,0.0644,0.0612,0.0639,67947
4/17/86,0.0639,0.0644,0.0639,0.0644,46859
4/18/86,0.0644,0.0644,0.0617,0.0623,46050
4/21/86,0.0623,0.0628,0.0607,0.0623,48810
4/22/86,0.0623,0.0623,0.0612,0.0612,33114
4/23/86,0.0612,0.0617,0.0607,0.0615,33233
4/24/86,0.0615,0.0687,0.0612,0.0676,132808
4/25/86,0.0682,0.0748,0.0682,0.0719,182756
4/28/86,0.0718,0.0729,0.0713,0.0724,61488
4/29/86,0.0724,0.0724,0.0697,0.0703,64595
4/30/86,0.0703,0.0708,0.0671,0.0687,65817
5/1/86,0.0687,0.0687,0.0666,0.0676,115754
5/2/86,0.0676,0.0687,0.0671,0.0676,43124
5/5/86,0.0676,0.0676,0.0671,0.0671,6931
5/6/86,0.0676,0.0687,0.0676,0.0676,20734
5/7/86,0.0676,0.0682,0.0666,0.0676,10980
5/8/86,0.0675,0.0681,0.0671,0.0681,7539
5/9/86,0.0682,0.0682,0.0676,0.0676,12943
5/12/86,0.0675,0.0697,0.0675,0.0681,22312
5/13/86,0.0681,0.0692,0.0681,0.0687,8158
5/14/86,0.0687,0.0687,0.0681,0.0681,19799
5/15/86,0.0681,0.0691,0.0681,0.0681,8091
5/16/86,0.0681,0.0703,0.0681,0.0687,25456
5/19/86,0.0687,0.0687,0.0671,0.0676,23433
5/20/86,0.0676,0.0676,0.0665,0.0671,131992
5/21/86,0.0671,0.0676,0.066,0.066,17236
5/22/86,0.066,0.0666,0.066,0.066,9385
5/23/86,0.066,0.0671,0.066,0.066,8710
5/27/86,0.066,0.0681,0.066,0.0681,29545
5/28/86,0.0682,0.0703,0.0682,0.0703,33064
5/29/86,0.0703,0.0729,0.0698,0.0719,97298
5/30/86,0.0724,0.0756,0.0724,0.0745,57638
6/2/86,0.0745,0.0745,0.0724,0.0724,41993
6/3/86,0.0724,0.0724,0.0713,0.0724,10667
6/4/86,0.0725,0.0729,0.0713,0.0719,10061
6/5/86,0.0719,0.0729,0.0713,0.0729,29185
6/6/86,0.0729,0.0729,0.0719,0.0729,7296
6/9/86,0.0729,0.0729,0.0697,0.0697,26973
6/10/86,0.0697,0.0697,0.0687,0.0697,7295
6/11/86,0.0697,0.0697,0.0687,0.0697,4904
6/12/86,0.0697,0.0697,0.0665,0.0671,29195
6/13/86,0.0671,0.0676,0.0665,0.0671,16806
6/16/86,0.0671,0.0675,0.0659,0.0665,20410
6/17/86,0.0671,0.0687,0.0671,0.0676,27850
6/18/86,0.0676,0.0676,0.066,0.0671,9262
6/19/86,0.0671,0.0675,0.0659,0.0665,18019
6/20/86,0.0666,0.0671,0.0666,0.0668,8097
6/23/86,0.0668,0.0676,0.0655,0.0676,98394
6/24/86,0.0676,0.0681,0.0665,0.0671,31035
6/25/86,0.0671,0.0676,0.066,0.066,32448
6/26/86,0.066,0.0665,0.0639,0.0639,40781
6/27/86,0.0639,0.0643,0.0627,0.0633,22121
6/30/86,0.0634,0.0671,0.0628,0.0655,132779
7/1/86,0.0655,0.0655,0.0649,0.0655,101316
7/2/86,0.0655,0.0655,0.0649,0.0655,112049
7/3/86,0.0659,0.0671,0.0659,0.0665,30094
7/7/86,0.0665,0.0665,0.0639,0.0639,29926
7/8/86,0.0639,0.0639,0.0617,0.0623,30353
7/9/86,0.0623,0.0623,0.0591,0.0596,98230
7/10/86,0.0596,0.0601,0.0554,0.058,99814
7/11/86,0.058,0.0607,0.058,0.0596,37035
7/14/86,0.058,0.0601,0.058,0.0588,60885
7/15/86,0.0588,0.0607,0.058,0.0596,28083
7/16/86,0.0601,0.0617,0.0601,0.0617,19913
7/17/86,0.0618,0.0628,0.0612,0.0628,14780
7/18/86,0.0627,0.0639,0.0612,0.0633,26227
7/21/86,0.0633,0.0643,0.0633,0.0633,7476
7/22/86,0.0634,0.0655,0.0634,0.0655,22385
7/23/86,0.0655,0.0665,0.0639,0.0639,44276
7/24/86,0.065,0.0671,0.065,0.066,30117
7/25/86,0.0659,0.0671,0.0659,0.0665,43516
7/28/86,0.0665,0.0665,0.0649,0.0649,25127
7/29/86,0.0649,0.0654,0.0623,0.0633,29904
7/30/86,0.0633,0.0633,0.0591,0.0612,56233
7/31/86,0.0612,0.0617,0.0607,0.0607,33293
8/1/86,0.0607,0.0611,0.0595,0.0601,27446
8/4/86,0.0601,0.0601,0.0585,0.0601,26466
8/5/86,0.0602,0.0607,0.0596,0.0596,6009
8/6/86,0.0596,0.0601,0.058,0.0591,38991
8/7/86,0.0592,0.0596,0.058,0.0586,7793
8/8/86,0.0585,0.0601,0.0585,0.0591,8828
8/11/86,0.0602,0.0618,0.0602,0.0612,16925
8/12/86,0.0612,0.0628,0.0612,0.0628,21281
8/13/86,0.0627,0.0633,0.0623,0.0633,14645
8/14/86,0.0633,0.0655,0.0633,0.0649,42838
8/15/86,0.065,0.0655,0.0644,0.0652,13003
8/18/86,0.0652,0.0655,0.0644,0.0644,27232
8/19/86,0.0644,0.0647,0.0634,0.0644,43424
8/20/86,0.0644,0.0644,0.0639,0.0639,44215
8/21/86,0.0639,0.0649,0.0639,0.0639,105478
8/22/86,0.0639,0.0644,0.0618,0.0628,12266
8/25/86,0.0628,0.0628,0.0618,0.0628,5152
8/26/86,0.0628,0.0628,0.0623,0.0623,23117
8/27/86,0.0623,0.0628,0.0617,0.0623,20297
8/28/86,0.0623,0.0628,0.0623,0.0623,7297
8/29/86,0.0623,0.0628,0.0596,0.0607,54139
9/2/86,0.0607,0.0607,0.0583,0.0591,11097
9/3/86,0.0585,0.0585,0.0558,0.0575,38987
9/4/86,0.0586,0.0623,0.0586,0.0623,83946
9/5/86,0.0623,0.0649,0.0617,0.0649,56075
9/8/86,0.065,0.0655,0.0644,0.0644,20485
9/9/86,0.0644,0.0671,0.0644,0.0655,79912
9/10/86,0.0655,0.066,0.0644,0.0644,23184
9/11/86,0.0643,0.0649,0.0617,0.0617,75854
9/12/86,0.0617,0.0622,0.0601,0.0601,52013
9/15/86,0.0602,0.0612,0.0591,0.0612,47893
9/16/86,0.0612,0.0618,0.0602,0.0612,11038
9/17/86,0.0612,0.0639,0.0607,0.0628,17111
9/18/86,0.0627,0.0643,0.0627,0.0633,11398
9/19/86,0.0633,0.0639,0.0627,0.0633,5331
9/22/86,0.0634,0.0634,0.0628,0.0628,9567
9/23/86,0.0628,0.0644,0.0628,0.0639,12694
9/24/86,0.0639,0.0639,0.0628,0.0631,10179
9/25/86,0.063,0.0633,0.0617,0.0617,10968
9/26/86,0.0617,0.0623,0.0611,0.0617,4963
9/29/86,0.0617,0.0617,0.0601,0.0601,13172
9/30/86,0.0601,0.0611,0.0601,0.0601,11028
10/1/86,0.0602,0.0612,0.0586,0.0596,69043
10/2/86,0.0596,0.0607,0.0591,0.0596,48379
10/3/86,0.0595,0.0607,0.0595,0.0601,31306
10/6/86,0.0617,0.0659,0.0617,0.0649,181585
10/7/86,0.065,0.0676,0.065,0.0663,127325
10/8/86,0.0663,0.0689,0.0655,0.0681,254563
10/9/86,0.0682,0.0719,0.0682,0.0703,197159
10/10/86,0.0703,0.0751,0.0692,0.0735,163504
10/13/86,0.0735,0.0735,0.0703,0.0703,57786
10/14/86,0.0708,0.0719,0.0708,0.0713,27404
10/15/86,0.0713,0.0751,0.0713,0.0745,135265
10/16/86,0.0745,0.0751,0.074,0.0745,46540
10/17/86,0.0745,0.0772,0.0745,0.0766,264791
10/20/86,0.0766,0.0782,0.0751,0.0772,92714
10/21/86,0.0777,0.0804,0.0777,0.0804,239299
10/22/86,0.0804,0.0812,0.0798,0.0804,116215
10/23/86,0.0804,0.0809,0.0796,0.0804,150006
10/24/86,0.0804,0.0804,0.0777,0.0798,215742
10/27/86,0.0804,0.0825,0.0804,0.0825,267619
10/28/86,0.0825,0.0857,0.0825,0.0844,303803
10/29/86,0.0844,0.0846,0.0809,0.082,113340
10/30/86,0.082,0.0846,0.0815,0.0836,94518
10/31/86,0.0836,0.0846,0.082,0.0825,135742
11/3/86,0.083,0.0846,0.083,0.0841,89801
11/4/86,0.0841,0.0873,0.0841,0.0873,115807
11/5/86,0.0873,0.0932,0.0868,0.0926,96034
11/6/86,0.0926,0.0968,0.0921,0.0947,154462
11/7/86,0.0948,0.0953,0.0926,0.0942,94384
11/10/86,0.0942,0.0942,0.0899,0.0905,61069
11/11/86,0.091,0.0921,0.091,0.091,25325
11/12/86,0.091,0.0931,0.09,0.091,72726
11/13/86,0.091,0.0915,0.0894,0.0897,64317
11/14/86,0.0897,0.0905,0.0878,0.0905,39854
11/17/86,0.0905,0.0921,0.0894,0.091,51755
11/18/86,0.091,0.0915,0.0862,0.0862,127032
11/19/86,0.0862,0.09,0.0862,0.0894,103748
11/20/86,0.0894,0.0963,0.0894,0.0963,208967
11/21/86,0.0969,0.1006,0.0969,0.0995,193850
11/24/86,0.0995,0.1081,0.0963,0.1075,370148
11/25/86,0.1075,0.1092,0.107,0.1086,203955
11/26/86,0.1086,0.1092,0.1075,0.1075,82603
11/28/86,0.1075,0.108,0.1049,0.1059,87994
12/1/86,0.1059,0.1064,0.1032,0.1038,85774
12/2/86,0.1043,0.1064,0.1043,0.1043,61256
12/3/86,0.1043,0.1054,0.1033,0.1035,74866
12/4/86,0.1035,0.1058,0.1027,0.1048,90459
12/5/86,0.1049,0.1054,0.1043,0.1043,228896
12/8/86,0.1043,0.1054,0.1017,0.1033,48276
12/9/86,0.1033,0.1038,0.1022,0.1027,34274
12/10/86,0.1027,0.1038,0.1017,0.1035,58740
12/11/86,0.1035,0.1049,0.1033,0.1043,24772
12/12/86,0.1043,0.1043,0.1006,0.1006,53825
12/15/86,0.1006,0.1011,0.0963,0.0979,108076
12/16/86,0.0984,0.1006,0.0984,0.099,164530
12/17/86,0.0991,0.1007,0.0991,0.1001,49743
12/18/86,0.1001,0.1011,0.0996,0.1009,26988
12/19/86,0.1012,0.1043,0.1012,0.1033,120537
12/22/86,0.1033,0.1054,0.1033,0.1043,38998
12/23/86,0.1043,0.1054,0.1043,0.1054,50646
12/24/86,0.1054,0.1054,0.1049,0.1051,14962
12/26/86,0.105,0.1058,0.1048,0.1048,7906
12/29/86,0.1048,0.1059,0.1006,0.1006,88768
12/30/86,0.1007,0.1023,0.0996,0.1017,54101
12/31/86,0.1017,0.1043,0.1017,0.1027,49725
1/2/87,0.1027,0.1038,0.1011,0.1017,26928
1/5/87,0.1017,0.1086,0.1011,0.1075,103269
1/6/87,0.1074,0.1096,0.107,0.1091,85196
1/7/87,0.1092,0.115,0.1092,0.115,129904
1/8/87,0.1155,0.1197,0.1155,0.1187,130901
1/9/87,0.1187,0.1241,0.1182,0.1235,135642
1/12/87,0.1235,0.1325,0.1225,0.1315,274285
1/13/87,0.1304,0.1304,0.1256,0.1277,162460
1/14/87,0.1277,0.1283,0.1251,0.1277,147870
1/15/87,0.1277,0.1378,0.1277,0.1346,249035
1/16/87,0.1347,0.1347,0.1289,0.1315,139351
1/19/87,0.1314,0.1362,0.1288,0.1362,187811
1/20/87,0.1363,0.1416,0.1358,0.1384,203890
1/21/87,0.1384,0.1479,0.1357,0.1442,230953
1/22/87,0.1442,0.1591,0.14,0.1586,247004
1/23/87,0.1586,0.165,0.1437,0.1437,676690
1/26/87,0.1448,0.148,0.14,0.1464,248211
1/27/87,0.1463,0.1543,0.1463,0.1522,242858
1/28/87,0.1522,0.1548,0.1479,0.1527,163305
1/29/87,0.1528,0.1544,0.1432,0.1464,168725
1/30/87,0.1464,0.1559,0.1442,0.1557,221807
2/2/87,0.1556,0.1586,0.1554,0.1554,99861
2/3/87,0.1554,0.157,0.1501,0.1527,126279
2/4/87,0.1527,0.1539,0.1512,0.1533,67575
2/5/87,0.1532,0.1543,0.1506,0.1522,90781
2/6/87,0.1522,0.153,0.1458,0.1466,97120
2/9/87,0.1463,0.1463,0.1445,0.1453,289680
2/10/87,0.1453,0.1458,0.1421,0.1458,95095
2/11/87,0.1463,0.1527,0.1463,0.1527,128364
2/12/87,0.1527,0.1642,0.1527,0.1634,395410
2/13/87,0.1634,0.1655,0.1581,0.1618,174062
2/17/87,0.1618,0.1634,0.158,0.1628,150541
2/18/87,0.1628,0.1655,0.1522,0.1527,273708
2/19/87,0.1523,0.1523,0.1448,0.1464,676678
2/20/87,0.1464,0.1464,0.1427,0.1448,187179
2/23/87,0.1447,0.1559,0.1415,0.1538,268001
2/24/87,0.1539,0.1619,0.1539,0.1613,257283
2/25/87,0.1612,0.1642,0.1575,0.1586,138369
2/26/87,0.1586,0.1692,0.1554,0.1644,309062
